Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T3-L4-Z17_MC-C1,T3,L4,Z17_MC,4,C1,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C2,T3,L4,Z17_MC,4,C2,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C3,T3,L4,Z17_MC,4,C3,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C4,T3,L4,Z17_MC,4,C4,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C5,T3,L4,Z17_MC,4,C5,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C6,T3,L4,Z17_MC,4,C6,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C7,T3,L4,Z17_MC,4,C7,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C8,T3,L4,Z17_MC,4,C8,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C9,T3,L4,Z17_MC,4,C9,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C10,T3,L4,Z17_MC,4,C10,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C11,T3,L4,Z17_MC,4,C11,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C12,T3,L4,Z17_MC,4,C12,0%,0%,0%,MC,100%,100%,100%
T3-L3-Z10-C1,T3,L3,Z10,4,C1,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C2,T3,L3,Z10,4,C2,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C3,T3,L3,Z10,4,C3,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C4,T3,L3,Z10,4,C4,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C5,T3,L3,Z10,4,C5,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C6,T3,L3,Z10,4,C6,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C1,T3,L3,Z11,4,C1,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C2,T3,L3,Z11,4,C2,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C3,T3,L3,Z11,4,C3,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C4,T3,L3,Z11,4,C4,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C5,T3,L3,Z11,4,C5,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C6,T3,L3,Z11,4,C6,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C7,T3,L3,Z11,4,C7,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C8,T3,L3,Z11,4,C8,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C9,T3,L3,Z11,4,C9,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C10,T3,L3,Z11,4,C10,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C11,T3,L3,Z11,4,C11,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C12,T3,L3,Z11,4,C12,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C13,T3,L3,Z11,4,C13,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C14,T3,L3,Z11,4,C14,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C15,T3,L3,Z11,4,C15,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C16,T3,L3,Z11,4,C16,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C17,T3,L3,Z11,4,C17,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C18,T3,L3,Z11,4,C18,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C19,T3,L3,Z11,4,C19,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C20,T3,L3,Z11,4,C20,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C21,T3,L3,Z11,4,C21,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C22,T3,L3,Z11,4,C22,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C23,T3,L3,Z11,4,C23,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z12-C1,T3,L3,Z12,4,C1,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C2,T3,L3,Z12,4,C2,,,,Column,100%,100%,100%
T3-L3-Z12-C3,T3,L3,Z12,4,C3,,,,Column,100%,100%,100%
T3-L3-Z12-C4,T3,L3,Z12,4,C4,,,,Column,100%,100%,100%
T3-L3-Z12-C5,T3,L3,Z12,4,C5,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C6,T3,L3,Z12,4,C6,,,,Column,100%,100%,100%
T3-L3-Z12-C7,T3,L3,Z12,4,C7,,,,Column,100%,100%,100%
T3-L3-Z12-C8,T3,L3,Z12,4,C8,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C9,T3,L3,Z12,4,C9,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C10,T3,L3,Z12,4,C10,,,,Column,100%,100%,100%
T3-L3-Z12-C11,T3,L3,Z12,4,C11,,,,Column,100%,100%,100%
T3-L3-Z12-C12,T3,L3,Z12,4,C12,100%,100%,,Column,100%,100%,100%
T3-L3-Z14-C1,T3,L3,Z14,4,C1,,,,Column,,100%,
T3-L3-Z14-C2,T3,L3,Z14,4,C2,,,,Column,,100%,
T3-L3-Z14-C3,T3,L3,Z14,4,C3,,,,Column,,100%,
T3-L3-Z14-C4,T3,L3,Z14,4,C4,,,,Column,,100%,
T3-L3-Z14-C5,T3,L3,Z14,4,C5,,,,Column,,100%,
T3-L3-Z14-C6,T3,L3,Z14,4,C6,,,,Column,,100%,
T3-L3-Z14-C7,T3,L3,Z14,4,C7,,,,Column,,100%,
T3-L3-Z14-C8,T3,L3,Z14,4,C8,,,,Column,,100%,
T3-L3-Z14-C9,T3,L3,Z14,4,C9,,,,Column,,100%,
T3-L3-Z14-C10,T3,L3,Z14,4,C10,,,,Column,,100%,
T3-L3-Z14-C11,T3,L3,Z14,4,C11,,,,Column,,100%,
T3-L3-Z14-C12,T3,L3,Z14,4,C12,,,,Column,,100%,
T3-L4-Z15_MC-C1,T3,L4,Z15_MC,4,C1,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C2,T3,L4,Z15_MC,4,C2,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C3,T3,L4,Z15_MC,4,C3,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C4,T3,L4,Z15_MC,4,C4,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C5,T3,L4,Z15_MC,4,C5,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C6,T3,L4,Z15_MC,4,C6,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C1,T3,L4,Z16_MC,4,C1,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C2,T3,L4,Z16_MC,4,C2,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C3,T3,L4,Z16_MC,4,C3,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C4,T3,L4,Z16_MC,4,C4,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C5,T3,L4,Z16_MC,4,C5,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C6,T3,L4,Z16_MC,4,C6,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C7,T3,L4,Z16_MC,4,C7,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C8,T3,L4,Z16_MC,4,C8,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C9,T3,L4,Z16_MC,4,C9,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C10,T3,L4,Z16_MC,4,C10,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C11,T3,L4,Z16_MC,4,C11,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C12,T3,L4,Z16_MC,4,C12,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C13,T3,L4,Z16_MC,4,C13,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C14,T3,L4,Z16_MC,4,C14,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C15,T3,L4,Z16_MC,4,C15,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C16,T3,L4,Z16_MC,4,C16,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C17,T3,L4,Z16_MC,4,C17,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C18,T3,L4,Z16_MC,4,C18,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C19,T3,L4,Z16_MC,4,C19,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C20,T3,L4,Z16_MC,4,C20,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C21,T3,L4,Z16_MC,4,C21,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C22,T3,L4,Z16_MC,4,C22,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z16_MC-C23,T3,L4,Z16_MC,4,C23,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C1,T3,L4,Z17_MC,4,C1,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C2,T3,L4,Z17_MC,4,C2,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C3,T3,L4,Z17_MC,4,C3,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C4,T3,L4,Z17_MC,4,C4,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C5,T3,L4,Z17_MC,4,C5,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C6,T3,L4,Z17_MC,4,C6,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C7,T3,L4,Z17_MC,4,C7,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C8,T3,L4,Z17_MC,4,C8,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z17_MC-C9,T3,L4,Z17_MC,4,C9,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C10,T3,L4,Z17_MC,4,C10,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C11,T3,L4,Z17_MC,4,C11,,,,MC,100%,100%,100%
T3-L4-Z17_MC-C12,T3,L4,Z17_MC,4,C12,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C1,T3,L4,Z19_MC,4,C1,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C2,T3,L4,Z19_MC,4,C2,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C3,T3,L4,Z19_MC,4,C3,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C4,T3,L4,Z19_MC,4,C4,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C5,T3,L4,Z19_MC,4,C5,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C6,T3,L4,Z19_MC,4,C6,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C7,T3,L4,Z19_MC,4,C7,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C8,T3,L4,Z19_MC,4,C8,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C9,T3,L4,Z19_MC,4,C9,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C10,T3,L4,Z19_MC,4,C10,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C11,T3,L4,Z19_MC,4,C11,,,,MC,100%,100%,100%
T3-L4-Z19_MC-C12,T3,L4,Z19_MC,4,C12,,,,MC,100%,100%,100%
T3-L4-Polyesterene-C1,T3,L4,Polyesterene,4,C1,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C2,T3,L4,Polyesterene,4,C2,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C3,T3,L4,Polyesterene,4,C3,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C4,T3,L4,Polyesterene,4,C4,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C5,T3,L4,Polyesterene,4,C5,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C6,T3,L4,Polyesterene,4,C6,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C7,T3,L4,Polyesterene,4,C7,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C8,T3,L4,Polyesterene,4,C8,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C9,T3,L4,Polyesterene,4,C9,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C10,T3,L4,Polyesterene,4,C10,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C11,T3,L4,Polyesterene,4,C11,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C12,T3,L4,Polyesterene,4,C12,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C13,T3,L4,Polyesterene,4,C13,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C14,T3,L4,Polyesterene,4,C14,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C15,T3,L4,Polyesterene,4,C15,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C16,T3,L4,Polyesterene,4,C16,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C17,T3,L4,Polyesterene,4,C17,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C18,T3,L4,Polyesterene,4,C18,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C19,T3,L4,Polyesterene,4,C19,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C20,T3,L4,Polyesterene,4,C20,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C21,T3,L4,Polyesterene,4,C21,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C22,T3,L4,Polyesterene,4,C22,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C23,T3,L4,Polyesterene,4,C23,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C24,T3,L4,Polyesterene,4,C24,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C25,T3,L4,Polyesterene,4,C25,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C26,T3,L4,Polyesterene,4,C26,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C27,T3,L4,Polyesterene,4,C27,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C28,T3,L4,Polyesterene,4,C28,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C29,T3,L4,Polyesterene,4,C29,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C30,T3,L4,Polyesterene,4,C30,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C31,T3,L4,Polyesterene,4,C31,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C32,T3,L4,Polyesterene,4,C32,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C33,T3,L4,Polyesterene,4,C33,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C34,T3,L4,Polyesterene,4,C34,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C35,T3,L4,Polyesterene,4,C35,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C36,T3,L4,Polyesterene,4,C36,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C37,T3,L4,Polyesterene,4,C37,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C38,T3,L4,Polyesterene,4,C38,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C39,T3,L4,Polyesterene,4,C39,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C40,T3,L4,Polyesterene,4,C40,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C41,T3,L4,Polyesterene,4,C41,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C42,T3,L4,Polyesterene,4,C42,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C43,T3,L4,Polyesterene,4,C43,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C44,T3,L4,Polyesterene,4,C44,0%,0%,0%,Poly,0%,0%,0%
T3-L4-Polyesterene-C45,T3,L4,Polyesterene,4,C45,0%,0%,0%,Poly,0%,0%,0%
T4-L1-Z6-C1,T4,L1,Z6,2,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C2,T4,L1,Z6,2,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C3,T4,L1,Z6,2,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C4,T4,L1,Z6,2,C4,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C5,T4,L1,Z6,2,C5,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C6,T4,L1,Z6,2,C6,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C7,T4,L1,Z6,2,C7,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C8,T4,L1,Z6,2,C8,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C9,T4,L1,Z6,2,C9,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C10,T4,L1,Z6,2,C10,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C11,T4,L1,Z6,2,C11,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C12,T4,L1,Z6,2,C12,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C13,T4,L1,Z6,2,C13,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C14,T4,L1,Z6,2,C14,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C15,T4,L1,Z6,2,C15,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z6-C16,T4,L1,Z6,2,C16,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7.1-C1,T4,L1,Z7.1,2,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7.1-C2,T4,L1,Z7.1,2,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C1,T4,L1,Z7,2,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C2,T4,L1,Z7,2,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C3,T4,L1,Z7,2,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C4,T4,L1,Z7,2,C4,100%,100%,100%,Column,100%,100%,100%
