Tower,Level,zone,SOW,area_m2,fwk_pc13,fwk_pc14,rebar_pc13,rebar_pc14,concrete_pc13,concrete_pc14,pt_pc13,pt_pc14
T4,LG2,Zone 1,2,109,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,LG1,Zone 2,2,150,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,LG1,Zone 3,2,193,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,GF,Zone 4,2,936,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,GF,Zone 5.1,2,171,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,GF,Zone 5.2,2,35,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,GF,Zone 5.3,2,147,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,GF,Zone 5.4,2,42,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,GF,Zone 5.5,2,34,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,GF,Zone 5.6,2,19,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 6,2,723,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 7,2,922,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 7.1,2,214,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 8,5,812,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 9a,5,536,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 9b,2,268,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 10,5,266,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1,Zone 11,2,566,100%,100%,80%,100%,0%,100%,non-pt,non-pt
T4,L1,Zone 12,2,479,0%,70%,30%,70%,0%,70%,non-pt,non-pt
T4,L1,Zone 13,2,334,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,L1M,Zone 14,6,111,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1M,Zone 15,2,578,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1M,Zone 16,6,901,100%,100%,100%,100%,100%,100%,100%,100%
T4,L1M,Zone 17,6,366,100%,100%,100%,100%,100%,100%,100%,100%
T4,L1M,Zone 18,6,370,100%,100%,100%,100%,100%,100%,100%,100%
T4,L1M,Zone 19,6,430,70%,70%,70%,70%,70%,70%,non-pt,non-pt
T4,L1M,Zone 20,6,565,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1M,Zone 21.1,2,45,100%,100%,100%,100%,0%,0%,non-pt,non-pt
T4,L1M,Zone 21.2,2,73,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,L1M,Zone 21.3,6,26,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,L1M,Zone 21.4,2,40,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,L1M,Zone 21.5,2,95,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L1M,Zone 21.6,2,48,100%,100%,100%,100%,0%,0%,non-pt,non-pt
T4,L1M,Zone 21.7,2,114,0%,0%,0%,0%,0%,0%,non-pt,non-pt
T4,L2,Zone 22,6,1605,100%,100%,100%,100%,100%,100%,90%,90%
T4,L2,Zone 23,6,1265,100%,100%,100%,100%,100%,100%,90%,90%
T4,L2,Zone 24,6,1687,100%,100%,100%,100%,100%,100%,90%,90%
T4,L2,Zone 25,6,1372,40%,40%,40%,40%,0%,0%,0%,0%
T4,L2,Zone 26,6,1773,9%,100%,9%,9%,9%,9%,9%,9%
T4,L2,Zone 27,6,803,35%,35%,35%,35%,35%,35%,non-pt,non-pt
T4,L2,Zone 28,6,498,0%,100%,0%,100%,0%,0%,non-pt,non-pt
T4,L3,Zone 29,6,663,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T4,L3,Zone 30,6,1446,100%,100%,100%,100%,100%,100%,90%,90%
T4,L3,Zone 31,6,1280,100%,100%,100%,100%,100%,100%,90%,90%
T4,L3,Zone 32,6,1925,100%,100%,50%,100%,0%,0%,50%,75%
T4,L3,Zone 33,6,1314,0%,0%,0%,0%,0%,0%,0%,0%
T4,L3,Zone 34,6,2034,0%,0%,0%,0%,0%,0%,0%,0%
T3,LG2,Zone 1,2,259,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,LG1,Zone 2,2,283,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,LG1,Zone 3,2,57,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,GF,Zone 4,2,386,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,GF,Zone 4.1,2,75,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L1,Zone6,2,388,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L1,Zone8,2,44,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L1,Zone9,2,82,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L3,Zone10,4,729,100%,100%,100%,100%,100%,,90%,90%
T3,L3,Zone11,4,343,100%,100%,100%,100%,100%,100%,100%,100%
T3,L3,Zone12,4,838,100%,100%,100%,100%,100%,100%,90%,90%
T3,L3,Zone14,4,791,100%,100%,100%,100%,0%,100%,75%,75%
T3,L4,Zone15,4,638,100%,100%,100%,100%,100%,100%,90%,90%
T3,L4,Zone16,4,1182,100%,100%,100%,100%,100%,100%,90%,100%
T3,L4,Zone17,4,858,0%,100%,0%,0%,0%,0%,0%,0%
T3,L4,Zone19,4,1128,0%,21%,0%,21%,0%,0%,0%,21%
